commodity,variety,grade,min_price,modal_price,max_price,date,state,district,market,buffer_stock_qty_kg
Mustard Oil,Kachi Ghani,FAQ,136.38,147.89,156.3,2025-04-13,Uttar Pradesh,Lucknow,Dubagga Mandi,4208
Milk,Toned,FAQ,56.56,59.67,65.31,2025-04-27,Uttar Pradesh,Lucknow,Dubagga Mandi,4413
Masoor Dal,Red,FAQ,78.04,83.27,89.87,2025-08-02,Uttar Pradesh,Lucknow,Dubagga Mandi,5201
Atta,Whole Wheat,FAQ,39.02,41.17,45.29,2025-04-28,Maharashtra,Mumbai,Vashi APMC,4117
Tomato,Hybrid,FAQ,28.89,30.74,32.9,2025-11-04,Delhi,Delhi,Azadpur APMC,5443
Milk,Toned,FAQ,54.06,58.04,62.03,2025-01-26,Uttar Pradesh,Lucknow,Dubagga Mandi,4759
Potato,Desi/Local,FAQ,17.79,19.75,20.78,2025-08-26,Karnataka,Bengaluru,Yeshwantpur APMC,5981
Wheat,Sharbati,FAQ,30.63,32.35,35.14,2025-05-21,Uttar Pradesh,Lucknow,Dubagga Mandi,4992
Wheat,Sharbati,FAQ,25.88,28.45,30.69,2025-09-24,Maharashtra,Mumbai,Vashi APMC,5608
Ginger,Local,FAQ,82.84,87.47,92.87,2024-11-17,Delhi,Delhi,Azadpur APMC,5486
Sunflower Oil,Refined,FAQ,118.53,127.07,136.23,2024-11-14,Karnataka,Bengaluru,Yeshwantpur APMC,4822
Milk,Toned,FAQ,52.39,57.74,60.67,2025-03-26,Uttar Pradesh,Lucknow,Dubagga Mandi,5115
Green Chilli,Teja,FAQ,52.76,57.97,61.78,2025-08-21,Delhi,Delhi,Azadpur APMC,5484
Ginger,Local,FAQ,75.98,83.52,89.13,2025-10-29,Uttar Pradesh,Lucknow,Dubagga Mandi,5457
Palm Oil,Imported,FAQ,91.44,99.31,105.55,2025-06-26,Uttar Pradesh,Lucknow,Dubagga Mandi,4332
Garlic,Desi,FAQ,110.46,118.09,129.23,2025-10-04,Uttar Pradesh,Lucknow,Dubagga Mandi,5419
Urad Dal,Black,FAQ,84.04,91.99,100.9,2024-11-21,Maharashtra,Mumbai,Vashi APMC,6364
Atta,Whole Wheat,FAQ,32.48,35.75,38.09,2025-06-15,Uttar Pradesh,Lucknow,Dubagga Mandi,5037
Mustard Oil,Kachi Ghani,FAQ,137.73,150.79,161.87,2025-08-15,Uttar Pradesh,Lucknow,Dubagga Mandi,3456
Palm Oil,Imported,FAQ,88.15,92.91,98.26,2025-09-25,Maharashtra,Mumbai,Vashi APMC,5405
Gram Dal,Desi,FAQ,71.51,76.61,82.72,2025-11-19,Karnataka,Bengaluru,Yeshwantpur APMC,4787
Palm Oil,Imported,FAQ,78.09,86.51,92.96,2024-12-01,Karnataka,Bengaluru,Yeshwantpur APMC,5579
Garlic,Desi,FAQ,99.96,108.37,116.33,2025-08-19,Delhi,Delhi,Azadpur APMC,5695
Rice,Basmati/Common,FAQ,41.4,44.65,47.08,2025-01-26,Maharashtra,Mumbai,Vashi APMC,4780
Wheat,Sharbati,FAQ,29.55,31.99,35.08,2025-07-06,Maharashtra,Mumbai,Vashi APMC,4655
Tur Dal,Unpolished,FAQ,112.13,118.82,126.77,2025-01-07,Uttar Pradesh,Lucknow,Dubagga Mandi,4481
Palm Oil,Imported,FAQ,85.37,92.88,101.29,2025-11-03,Maharashtra,Mumbai,Vashi APMC,4780
Mustard Oil,Kachi Ghani,FAQ,150.49,159.47,172.78,2025-03-21,Delhi,Delhi,Azadpur APMC,2878
Garlic,Desi,FAQ,112.91,118.86,128.34,2025-08-10,Maharashtra,Mumbai,Vashi APMC,5485
Tomato,Hybrid,FAQ,25.33,26.75,29.18,2024-11-04,Maharashtra,Mumbai,Vashi APMC,6349
Atta,Whole Wheat,FAQ,28.06,30.61,33.1,2025-09-02,Maharashtra,Mumbai,Vashi APMC,5349
Potato,Desi/Local,FAQ,17.92,19.36,20.35,2024-10-21,Delhi,Delhi,Azadpur APMC,5237
Moong Dal,Split,FAQ,98.88,105.23,112.22,2025-05-12,Karnataka,Bengaluru,Yeshwantpur APMC,3742
Sugar,M-30,FAQ,37.36,41.22,43.88,2025-06-30,Delhi,Delhi,Azadpur APMC,4642
Moong Dal,Split,FAQ,94.45,104.89,112.26,2025-02-07,Delhi,Delhi,Azadpur APMC,4365
Groundnut Oil,Filtered,FAQ,153.31,167.61,182.26,2025-11-15,Delhi,Delhi,Azadpur APMC,6282
Wheat,Sharbati,FAQ,30.09,33.43,36.74,2025-06-01,Maharashtra,Mumbai,Vashi APMC,4995
Green Chilli,Teja,FAQ,55.2,59.97,64.51,2025-06-28,Maharashtra,Mumbai,Vashi APMC,4773
Tomato,Hybrid,FAQ,29.77,31.48,33.85,2025-10-29,Uttar Pradesh,Lucknow,Dubagga Mandi,5352
Palm Oil,Imported,FAQ,90.93,96.61,106.16,2025-07-24,Uttar Pradesh,Lucknow,Dubagga Mandi,4774
Soya Oil,Refined,FAQ,111.02,119.38,127.18,2025-11-24,Karnataka,Bengaluru,Yeshwantpur APMC,5376
Green Chilli,Teja,FAQ,57.46,61.24,65.83,2025-07-24,Delhi,Delhi,Azadpur APMC,4421
Groundnut Oil,Filtered,FAQ,154.68,171.63,183.21,2025-09-24,Delhi,Delhi,Azadpur APMC,5871
Milk,Toned,FAQ,50.41,53.5,58.31,2024-12-11,Maharashtra,Mumbai,Vashi APMC,5169
Green Chilli,Teja,FAQ,57.52,63.88,69.83,2025-06-07,Delhi,Delhi,Azadpur APMC,4163
Potato,Desi/Local,FAQ,28.43,30.43,32.69,2025-06-14,Uttar Pradesh,Lucknow,Dubagga Mandi,4774
Ginger,Local,FAQ,88.86,93.84,99.16,2025-05-06,Uttar Pradesh,Lucknow,Dubagga Mandi,4183
Potato,Desi/Local,FAQ,19.51,20.7,22.05,2024-11-10,Uttar Pradesh,Lucknow,Dubagga Mandi,5314
Potato,Desi/Local,FAQ,26.53,28.66,31.53,2025-01-18,Uttar Pradesh,Lucknow,Dubagga Mandi,4900
Onion,Red/Nashik,FAQ,30.67,32.64,35.05,2025-08-04,Uttar Pradesh,Lucknow,Dubagga Mandi,5492
Moong Dal,Split,FAQ,82.01,91.04,98.25,2024-11-12,Maharashtra,Mumbai,Vashi APMC,5296
Wheat,Sharbati,FAQ,24.99,26.51,28.26,2025-08-30,Uttar Pradesh,Lucknow,Dubagga Mandi,5570
Salt,Iodized,FAQ,19.0,20.58,22.03,2025-10-30,Karnataka,Bengaluru,Yeshwantpur APMC,5436
Ginger,Local,FAQ,79.76,85.29,93.73,2025-10-08,Karnataka,Bengaluru,Yeshwantpur APMC,5429
Onion,Red/Nashik,FAQ,38.88,40.98,43.73,2025-06-06,Uttar Pradesh,Lucknow,Dubagga Mandi,4518
Mustard Oil,Kachi Ghani,FAQ,130.54,142.68,152.0,2025-03-13,Delhi,Delhi,Azadpur APMC,4681
Garlic,Desi,FAQ,104.14,115.67,126.86,2025-09-29,Uttar Pradesh,Lucknow,Dubagga Mandi,5756
Moong Dal,Split,FAQ,90.04,98.19,103.94,2025-07-04,Karnataka,Bengaluru,Yeshwantpur APMC,4397
Tomato,Hybrid,FAQ,28.4,31.09,33.17,2025-08-18,Maharashtra,Mumbai,Vashi APMC,5818
Gram Dal,Desi,FAQ,63.25,69.05,72.75,2025-10-05,Karnataka,Bengaluru,Yeshwantpur APMC,6051
Gram Dal,Desi,FAQ,73.14,79.93,85.48,2025-04-20,Delhi,Delhi,Azadpur APMC,4120
Urad Dal,Black,FAQ,107.58,114.18,122.93,2025-05-14,Karnataka,Bengaluru,Yeshwantpur APMC,4318
Sugar,M-30,FAQ,36.26,39.86,43.06,2025-01-05,Karnataka,Bengaluru,Yeshwantpur APMC,5288
Sugar,M-30,FAQ,39.65,42.06,46.07,2025-09-02,Maharashtra,Mumbai,Vashi APMC,4709
Sunflower Oil,Refined,FAQ,117.65,128.56,139.95,2024-11-17,Uttar Pradesh,Lucknow,Dubagga Mandi,5297
Masoor Dal,Red,FAQ,86.68,92.47,98.43,2025-03-16,Delhi,Delhi,Azadpur APMC,3905
Ginger,Local,FAQ,75.25,81.37,88.38,2025-10-13,Karnataka,Bengaluru,Yeshwantpur APMC,5435
Tur Dal,Unpolished,FAQ,94.61,101.24,110.52,2025-10-25,Uttar Pradesh,Lucknow,Dubagga Mandi,6133
Salt,Iodized,FAQ,21.83,24.1,26.22,2025-03-08,Karnataka,Bengaluru,Yeshwantpur APMC,4745
Tur Dal,Unpolished,FAQ,114.71,122.76,134.84,2025-02-11,Uttar Pradesh,Lucknow,Dubagga Mandi,3957
Masoor Dal,Red,FAQ,69.38,73.1,79.88,2025-09-26,Uttar Pradesh,Lucknow,Dubagga Mandi,6165
Ginger,Local,FAQ,93.66,102.9,112.54,2025-05-08,Maharashtra,Mumbai,Vashi APMC,3607
Groundnut Oil,Filtered,FAQ,154.93,168.77,183.96,2025-10-25,Uttar Pradesh,Lucknow,Dubagga Mandi,6042
Urad Dal,Black,FAQ,84.39,92.3,98.03,2025-09-11,Delhi,Delhi,Azadpur APMC,6545
Moong Dal,Split,FAQ,90.15,95.63,103.22,2025-08-26,Karnataka,Bengaluru,Yeshwantpur APMC,4688
Garlic,Desi,FAQ,123.21,135.69,147.44,2025-05-13,Karnataka,Bengaluru,Yeshwantpur APMC,2972
Urad Dal,Black,FAQ,111.56,121.06,128.03,2025-06-01,Karnataka,Bengaluru,Yeshwantpur APMC,3889
Onion,Red/Nashik,FAQ,39.34,41.49,43.58,2025-02-05,Uttar Pradesh,Lucknow,Dubagga Mandi,4638
Wheat,Sharbati,FAQ,26.09,28.97,31.36,2025-09-06,Maharashtra,Mumbai,Vashi APMC,5066
Atta,Whole Wheat,FAQ,30.27,32.75,34.58,2024-10-23,Maharashtra,Mumbai,Vashi APMC,4951
Mustard Oil,Kachi Ghani,FAQ,115.41,125.9,133.23,2025-08-02,Uttar Pradesh,Lucknow,Dubagga Mandi,6219
Potato,Desi/Local,FAQ,18.39,20.18,21.61,2025-09-12,Maharashtra,Mumbai,Vashi APMC,5402
Salt,Iodized,FAQ,16.46,17.78,19.49,2024-10-24,Uttar Pradesh,Lucknow,Dubagga Mandi,5216
Groundnut Oil,Filtered,FAQ,153.41,166.36,180.71,2024-11-16,Uttar Pradesh,Lucknow,Dubagga Mandi,6817
Sugar,M-30,FAQ,40.26,43.67,46.99,2025-01-28,Karnataka,Bengaluru,Yeshwantpur APMC,5280
Moong Dal,Split,FAQ,105.73,113.76,124.19,2025-04-25,Uttar Pradesh,Lucknow,Dubagga Mandi,3123
Masoor Dal,Red,FAQ,77.72,82.07,89.37,2025-11-15,Delhi,Delhi,Azadpur APMC,5126
Mustard Oil,Kachi Ghani,FAQ,121.77,130.3,138.36,2025-08-13,Karnataka,Bengaluru,Yeshwantpur APMC,5596
Mustard Oil,Kachi Ghani,FAQ,133.86,145.39,156.91,2025-01-25,Delhi,Delhi,Azadpur APMC,4253
Tur Dal,Unpolished,FAQ,117.17,123.43,133.83,2025-04-26,Uttar Pradesh,Lucknow,Dubagga Mandi,3200
Tur Dal,Unpolished,FAQ,109.5,118.29,128.8,2025-03-01,Karnataka,Bengaluru,Yeshwantpur APMC,4501
Moong Dal,Split,FAQ,105.28,111.66,122.77,2025-05-24,Uttar Pradesh,Lucknow,Dubagga Mandi,3270
Palm Oil,Imported,FAQ,81.18,86.62,93.52,2025-08-26,Karnataka,Bengaluru,Yeshwantpur APMC,6307
Atta,Whole Wheat,FAQ,31.79,34.99,37.61,2025-06-30,Maharashtra,Mumbai,Vashi APMC,4601
Moong Dal,Split,FAQ,80.95,88.95,96.59,2025-11-06,Karnataka,Bengaluru,Yeshwantpur APMC,6051
Mustard Oil,Kachi Ghani,FAQ,142.34,157.4,167.14,2025-06-11,Karnataka,Bengaluru,Yeshwantpur APMC,3168
Sunflower Oil,Refined,FAQ,112.18,120.78,128.52,2025-11-04,Uttar Pradesh,Lucknow,Dubagga Mandi,5429
Groundnut Oil,Filtered,FAQ,168.83,180.29,189.63,2024-11-27,Maharashtra,Mumbai,Vashi APMC,5277
Milk,Toned,FAQ,54.71,59.54,62.85,2025-08-02,Maharashtra,Mumbai,Vashi APMC,4954
Rice,Basmati/Common,FAQ,40.95,45.27,49.22,2024-12-10,Maharashtra,Mumbai,Vashi APMC,5427
Garlic,Desi,FAQ,111.26,117.85,129.59,2025-11-17,Delhi,Delhi,Azadpur APMC,5671
Tomato,Hybrid,FAQ,48.55,51.53,56.57,2025-03-12,Karnataka,Bengaluru,Yeshwantpur APMC,3667
Sugar,M-30,FAQ,43.15,46.18,48.82,2025-05-16,Maharashtra,Mumbai,Vashi APMC,4157
Rice,Basmati/Common,FAQ,39.19,41.84,45.31,2025-10-05,Uttar Pradesh,Lucknow,Dubagga Mandi,5640
Soya Oil,Refined,FAQ,115.97,123.35,132.16,2025-10-27,Delhi,Delhi,Azadpur APMC,5659
Masoor Dal,Red,FAQ,76.88,81.15,86.19,2025-09-08,Uttar Pradesh,Lucknow,Dubagga Mandi,5045
Salt,Iodized,FAQ,17.88,19.14,20.77,2024-11-15,Karnataka,Bengaluru,Yeshwantpur APMC,4917
Atta,Whole Wheat,FAQ,36.93,40.09,43.39,2025-01-14,Delhi,Delhi,Azadpur APMC,4897
Milk,Toned,FAQ,50.24,53.13,56.07,2025-08-07,Delhi,Delhi,Azadpur APMC,5494
Potato,Desi/Local,FAQ,31.84,33.78,36.76,2025-04-24,Uttar Pradesh,Lucknow,Dubagga Mandi,4097
Sugar,M-30,FAQ,37.8,41.42,43.84,2024-12-07,Karnataka,Bengaluru,Yeshwantpur APMC,5547
Urad Dal,Black,FAQ,95.59,102.77,110.25,2025-08-10,Maharashtra,Mumbai,Vashi APMC,4729
Moong Dal,Split,FAQ,96.26,103.5,109.1,2025-03-30,Delhi,Delhi,Azadpur APMC,3869
Urad Dal,Black,FAQ,97.4,107.25,114.33,2025-08-09,Karnataka,Bengaluru,Yeshwantpur APMC,4646
Milk,Toned,FAQ,50.4,54.99,58.02,2025-09-21,Delhi,Delhi,Azadpur APMC,5435
Garlic,Desi,FAQ,108.84,115.52,125.92,2025-11-22,Delhi,Delhi,Azadpur APMC,5361
Moong Dal,Split,FAQ,93.56,102.78,108.42,2025-05-03,Maharashtra,Mumbai,Vashi APMC,4714
Sunflower Oil,Refined,FAQ,121.99,135.47,144.89,2024-12-22,Karnataka,Bengaluru,Yeshwantpur APMC,4925
Masoor Dal,Red,FAQ,81.24,85.68,94.07,2025-08-12,Uttar Pradesh,Lucknow,Dubagga Mandi,4783
Palm Oil,Imported,FAQ,94.46,100.64,108.74,2024-12-24,Maharashtra,Mumbai,Vashi APMC,4740
Urad Dal,Black,FAQ,97.51,105.06,115.15,2025-07-21,Karnataka,Bengaluru,Yeshwantpur APMC,5236
Rice,Basmati/Common,FAQ,39.04,42.48,46.64,2025-10-26,Uttar Pradesh,Lucknow,Dubagga Mandi,5332
Urad Dal,Black,FAQ,109.91,116.15,127.31,2025-02-28,Maharashtra,Mumbai,Vashi APMC,3812
Green Chilli,Teja,FAQ,63.1,69.82,73.83,2025-05-11,Maharashtra,Mumbai,Vashi APMC,4182
Moong Dal,Split,FAQ,82.74,89.45,97.82,2024-12-16,Delhi,Delhi,Azadpur APMC,5414
Garlic,Desi,FAQ,114.68,125.44,136.37,2025-06-24,Karnataka,Bengaluru,Yeshwantpur APMC,4323
Potato,Desi/Local,FAQ,18.5,19.56,21.07,2025-11-02,Delhi,Delhi,Azadpur APMC,5988
Urad Dal,Black,FAQ,97.73,107.69,115.06,2025-01-23,Delhi,Delhi,Azadpur APMC,4773
Atta,Whole Wheat,FAQ,30.49,32.11,35.11,2025-01-27,Karnataka,Bengaluru,Yeshwantpur APMC,5709
Soya Oil,Refined,FAQ,118.86,126.28,135.05,2024-12-29,Uttar Pradesh,Lucknow,Dubagga Mandi,4830
Potato,Desi/Local,FAQ,19.96,21.51,22.79,2025-11-18,Maharashtra,Mumbai,Vashi APMC,5649
Groundnut Oil,Filtered,FAQ,182.56,197.04,209.35,2025-03-07,Karnataka,Bengaluru,Yeshwantpur APMC,3420
Gram Dal,Desi,FAQ,71.53,76.24,81.19,2025-09-13,Uttar Pradesh,Lucknow,Dubagga Mandi,4920
Milk,Toned,FAQ,53.89,58.43,64.06,2025-01-26,Delhi,Delhi,Azadpur APMC,4240
Tomato,Hybrid,FAQ,46.97,49.75,52.47,2025-05-18,Uttar Pradesh,Lucknow,Dubagga Mandi,4426
Sunflower Oil,Refined,FAQ,135.78,144.09,155.45,2025-05-25,Maharashtra,Mumbai,Vashi APMC,3298
Palm Oil,Imported,FAQ,102.24,109.49,120.03,2025-06-09,Maharashtra,Mumbai,Vashi APMC,4044
Tur Dal,Unpolished,FAQ,101.56,108.0,118.47,2025-10-02,Delhi,Delhi,Azadpur APMC,5070
Masoor Dal,Red,FAQ,78.63,84.37,91.97,2024-11-23,Uttar Pradesh,Lucknow,Dubagga Mandi,5286
Ginger,Local,FAQ,76.87,85.25,90.58,2025-08-12,Maharashtra,Mumbai,Vashi APMC,5720
Sunflower Oil,Refined,FAQ,131.64,145.89,157.81,2025-03-18,Maharashtra,Mumbai,Vashi APMC,3900
Palm Oil,Imported,FAQ,84.65,91.06,98.3,2025-11-06,Delhi,Delhi,Azadpur APMC,5086
Mustard Oil,Kachi Ghani,FAQ,146.52,155.34,168.78,2025-05-21,Maharashtra,Mumbai,Vashi APMC,3432
Garlic,Desi,FAQ,102.71,109.18,116.06,2024-11-22,Uttar Pradesh,Lucknow,Dubagga Mandi,6534
Sugar,M-30,FAQ,41.03,43.25,46.38,2025-02-16,Uttar Pradesh,Lucknow,Dubagga Mandi,5141
Wheat,Sharbati,FAQ,30.36,33.69,35.61,2025-03-19,Delhi,Delhi,Azadpur APMC,5069
Gram Dal,Desi,FAQ,69.95,77.72,82.51,2025-01-15,Uttar Pradesh,Lucknow,Dubagga Mandi,4623
Urad Dal,Black,FAQ,90.24,96.11,102.11,2025-10-03,Maharashtra,Mumbai,Vashi APMC,5584
Groundnut Oil,Filtered,FAQ,175.92,187.0,199.49,2025-01-15,Karnataka,Bengaluru,Yeshwantpur APMC,4538
Urad Dal,Black,FAQ,102.65,108.92,117.47,2025-02-05,Karnataka,Bengaluru,Yeshwantpur APMC,4187
Milk,Toned,FAQ,43.35,47.14,50.38,2024-10-27,Delhi,Delhi,Azadpur APMC,5725
Mustard Oil,Kachi Ghani,FAQ,131.93,141.04,153.39,2025-10-02,Maharashtra,Mumbai,Vashi APMC,4980
Garlic,Desi,FAQ,121.84,129.95,142.55,2025-04-19,Uttar Pradesh,Lucknow,Dubagga Mandi,3643
Garlic,Desi,FAQ,119.84,126.34,138.31,2025-07-25,Uttar Pradesh,Lucknow,Dubagga Mandi,4728
Sugar,M-30,FAQ,37.66,39.87,43.68,2025-09-22,Karnataka,Bengaluru,Yeshwantpur APMC,5247
Wheat,Sharbati,FAQ,26.77,28.89,31.73,2025-10-15,Maharashtra,Mumbai,Vashi APMC,5181
Sugar,M-30,FAQ,44.86,47.36,50.21,2025-03-14,Karnataka,Bengaluru,Yeshwantpur APMC,4344
Green Chilli,Teja,FAQ,66.33,72.75,77.53,2025-04-24,Karnataka,Bengaluru,Yeshwantpur APMC,3777
Palm Oil,Imported,FAQ,98.53,104.4,113.49,2025-02-25,Delhi,Delhi,Azadpur APMC,4362
Sunflower Oil,Refined,FAQ,131.47,139.36,151.09,2025-01-28,Maharashtra,Mumbai,Vashi APMC,3659
Palm Oil,Imported,FAQ,93.88,101.43,107.89,2025-03-18,Maharashtra,Mumbai,Vashi APMC,4678
Mustard Oil,Kachi Ghani,FAQ,139.82,154.72,164.04,2025-05-07,Delhi,Delhi,Azadpur APMC,3076
Gram Dal,Desi,FAQ,74.93,80.91,86.0,2025-01-29,Uttar Pradesh,Lucknow,Dubagga Mandi,4506
Soya Oil,Refined,FAQ,109.45,115.47,126.25,2024-12-02,Maharashtra,Mumbai,Vashi APMC,5845
