Batch_ID,Warehouse_ID,Location,Commodity,Category,Quantity_MT,Entry_Date,Shelf_Life_Days,Expiry_Date,Days_Until_Expiry,Status
B_0064,WH_PB_01,"Ludhiana, Punjab",Mustard Oil,Oils,147,2025-07-12,365,2026-07-12,229,HEALTHY
B_0065,WH_UP_01,"Agra, Uttar Pradesh",Mustard Oil,Oils,55,2025-05-30,365,2026-05-30,186,HEALTHY
B_0066,WH_MH_02,"Latur, Maharashtra",Urad Dal,Pulses,272,2025-05-08,365,2026-05-08,164,HEALTHY
B_0067,WH_UP_01,"Agra, Uttar Pradesh",Mustard Oil,Oils,110,2025-11-08,365,2026-11-08,348,HEALTHY
B_0068,WH_MP_01,"Indore, Madhya Pradesh",Gram (Chana),Pulses,470,2025-06-15,365,2026-06-15,202,HEALTHY
B_0069,WH_MP_01,"Indore, Madhya Pradesh",Gram (Chana),Pulses,68,2025-11-12,365,2026-11-12,352,HEALTHY
B_0070,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,422,2025-05-10,730,2027-05-10,531,HEALTHY
B_0071,WH_DL_01,"Najafgarh, Delhi",Onion,Vegetable,84,2025-04-14,60,2025-06-13,-165,EXPIRED (Loss)
B_0072,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,100,2025-10-05,730,2027-10-05,679,HEALTHY
B_0073,WH_MH_02,"Latur, Maharashtra",Tur Dal,Pulses,323,2025-06-22,365,2026-06-22,209,HEALTHY
B_0074,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,103,2025-04-01,730,2027-04-01,492,HEALTHY
B_0075,WH_MH_02,"Latur, Maharashtra",Urad Dal,Pulses,74,2024-12-27,365,2025-12-27,32,HEALTHY
B_0076,WH_UP_01,"Agra, Uttar Pradesh",Moong Dal,Pulses,469,2025-03-10,365,2026-03-10,105,HEALTHY
B_0077,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,94,2025-10-11,730,2027-10-11,685,HEALTHY
B_0078,WH_KA_01,"Kolar, Karnataka",Potato,Vegetable,21,2025-09-18,120,2026-01-16,52,HEALTHY
B_0079,WH_TN_01,"Chennai, Tamil Nadu",Salt,Others,156,2025-03-29,1000,2027-12-24,759,HEALTHY
B_0080,WH_PB_01,"Ludhiana, Punjab",Wheat,Grains,301,2025-11-07,730,2027-11-07,712,HEALTHY
B_0081,WH_PB_01,"Ludhiana, Punjab",Mustard Oil,Oils,236,2025-03-09,365,2026-03-09,104,HEALTHY
B_0082,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,246,2025-06-27,730,2027-06-27,579,HEALTHY
B_0083,WH_MP_01,"Indore, Madhya Pradesh",Masur Dal,Pulses,204,2025-09-11,365,2026-09-11,290,HEALTHY
B_0084,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,126,2024-11-29,730,2026-11-29,369,HEALTHY
B_0085,WH_MH_01,"Nashik, Maharashtra",Mustard Oil,Oils,339,2025-01-29,365,2026-01-29,65,HEALTHY
B_0086,WH_KA_01,"Kolar, Karnataka",Tomato,Vegetable,394,2025-03-25,15,2025-04-09,-230,EXPIRED (Loss)
B_0087,WH_PB_01,"Ludhiana, Punjab",Mustard Oil,Oils,220,2025-08-29,365,2026-08-29,277,HEALTHY
B_0088,WH_TN_01,"Chennai, Tamil Nadu",Urad Dal,Pulses,399,2025-01-30,365,2026-01-30,66,HEALTHY
B_0089,WH_KA_01,"Kolar, Karnataka",Tomato,Vegetable,453,2025-03-21,15,2025-04-05,-234,EXPIRED (Loss)
B_0090,WH_TN_01,"Chennai, Tamil Nadu",Onion,Vegetable,63,2024-11-23,60,2025-01-22,-307,EXPIRED (Loss)
B_0091,WH_MH_02,"Latur, Maharashtra",Masur Dal,Pulses,368,2025-07-16,365,2026-07-16,233,HEALTHY
B_0092,WH_MH_02,"Latur, Maharashtra",Tur Dal,Pulses,138,2025-04-08,365,2026-04-08,134,HEALTHY
B_0093,WH_KA_01,"Kolar, Karnataka",Salt,Others,176,2025-07-15,1000,2028-04-10,867,HEALTHY
B_0094,WH_PB_01,"Ludhiana, Punjab",Wheat,Grains,52,2025-08-10,730,2027-08-10,623,HEALTHY
B_0095,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,125,2025-10-26,730,2027-10-26,700,HEALTHY
B_0096,WH_TN_01,"Chennai, Tamil Nadu",Urad Dal,Pulses,459,2025-05-09,365,2026-05-09,165,HEALTHY
B_0097,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,228,2025-10-20,730,2027-10-20,694,HEALTHY
B_0098,WH_AP_01,"Guntur, Andhra Pradesh",Sunflower Oil,Oils,438,2025-07-13,365,2026-07-13,230,HEALTHY
B_0099,WH_MP_01,"Indore, Madhya Pradesh",Wheat,Grains,74,2025-06-18,730,2027-06-18,570,HEALTHY
B_0100,WH_MH_02,"Latur, Maharashtra",Wheat,Grains,311,2025-05-26,730,2027-05-26,547,HEALTHY
B_0101,WH_UP_01,"Agra, Uttar Pradesh",Mustard Oil,Oils,304,2025-01-10,365,2026-01-10,46,HEALTHY
B_0102,WH_MH_02,"Latur, Maharashtra",Sunflower Oil,Oils,387,2025-05-21,365,2026-05-21,177,HEALTHY
B_0103,WH_UP_01,"Agra, Uttar Pradesh",Mustard Oil,Oils,22,2025-11-09,365,2026-11-09,349,HEALTHY
B_0104,WH_TN_01,"Chennai, Tamil Nadu",Masur Dal,Pulses,209,2025-10-10,365,2026-10-10,319,HEALTHY
B_0105,WH_MP_01,"Indore, Madhya Pradesh",Rice,Grains,244,2025-05-16,730,2027-05-16,537,HEALTHY
B_0106,WH_DL_01,"Najafgarh, Delhi",Onion,Vegetable,353,2025-10-08,60,2025-12-07,12,CRITICAL: DISPOSE NOW
B_0107,WH_KA_01,"Kolar, Karnataka",Potato,Vegetable,436,2025-06-01,120,2025-09-29,-57,EXPIRED (Loss)
B_0108,WH_UP_01,"Agra, Uttar Pradesh",Wheat,Grains,322,2025-01-19,730,2027-01-19,420,HEALTHY
B_0109,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,499,2025-07-04,730,2027-07-04,586,HEALTHY
B_0110,WH_WB_01,"Hooghly, West Bengal",Potato,Vegetable,205,2025-06-22,120,2025-10-20,-36,EXPIRED (Loss)
B_0111,WH_UP_01,"Agra, Uttar Pradesh",Potato,Vegetable,136,2025-09-21,120,2026-01-19,55,HEALTHY
B_0112,WH_DL_01,"Najafgarh, Delhi",Onion,Vegetable,420,2025-08-13,60,2025-10-12,-44,EXPIRED (Loss)
B_0113,WH_TN_01,"Chennai, Tamil Nadu",Urad Dal,Pulses,201,2025-06-10,365,2026-06-10,197,HEALTHY
B_0114,WH_WB_01,"Hooghly, West Bengal",Potato,Vegetable,315,2025-08-28,120,2025-12-26,31,HEALTHY
B_0115,WH_MP_01,"Indore, Madhya Pradesh",Urad Dal,Pulses,240,2025-07-21,365,2026-07-21,238,HEALTHY
B_0116,WH_UP_01,"Agra, Uttar Pradesh",Potato,Vegetable,372,2025-10-30,120,2026-02-27,94,HEALTHY
B_0117,WH_MP_01,"Indore, Madhya Pradesh",Wheat,Grains,475,2024-12-23,730,2026-12-23,393,HEALTHY
B_0118,WH_MH_02,"Latur, Maharashtra",Sunflower Oil,Oils,66,2024-11-26,365,2025-11-26,1,WARNING: Sell Soon
B_0119,WH_MP_01,"Indore, Madhya Pradesh",Gram (Chana),Pulses,10,2025-02-04,365,2026-02-04,71,HEALTHY
B_0120,WH_AP_01,"Guntur, Andhra Pradesh",Masur Dal,Pulses,151,2025-10-10,365,2026-10-10,319,HEALTHY
B_0121,WH_TN_01,"Chennai, Tamil Nadu",Mustard Oil,Oils,316,2025-09-29,365,2026-09-29,308,HEALTHY
B_0122,WH_TN_01,"Chennai, Tamil Nadu",Urad Dal,Pulses,298,2024-12-12,365,2025-12-12,17,WARNING: Sell Soon
B_0123,WH_MP_01,"Indore, Madhya Pradesh",Gram (Chana),Pulses,89,2025-08-03,365,2026-08-03,251,HEALTHY
B_0124,WH_TN_01,"Chennai, Tamil Nadu",Potato,Vegetable,175,2025-07-08,120,2025-11-05,-20,EXPIRED (Loss)
B_0125,WH_KA_01,"Kolar, Karnataka",Rice,Grains,492,2024-11-15,730,2026-11-15,355,HEALTHY
B_0126,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,343,2025-08-07,730,2027-08-07,620,HEALTHY
B_0127,WH_KA_01,"Kolar, Karnataka",Tomato,Vegetable,449,2025-03-04,15,2025-03-19,-251,EXPIRED (Loss)
B_0128,WH_MH_01,"Nashik, Maharashtra",Sugar,Others,253,2025-02-23,730,2027-02-23,455,HEALTHY
B_0129,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,213,2025-06-14,730,2027-06-14,566,HEALTHY
B_0130,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,25,2025-09-30,730,2027-09-30,674,HEALTHY
B_0131,WH_MH_01,"Nashik, Maharashtra",Tur Dal,Pulses,181,2024-11-29,365,2025-11-29,4,WARNING: Sell Soon
B_0132,WH_MH_02,"Latur, Maharashtra",Urad Dal,Pulses,138,2025-03-18,365,2026-03-18,113,HEALTHY
B_0133,WH_KA_01,"Kolar, Karnataka",Potato,Vegetable,110,2025-10-28,120,2026-02-25,92,HEALTHY
B_0134,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,492,2025-07-08,730,2027-07-08,590,HEALTHY
B_0135,WH_PB_01,"Ludhiana, Punjab",Sunflower Oil,Oils,407,2025-11-18,365,2026-11-18,358,HEALTHY
B_0136,WH_TN_01,"Chennai, Tamil Nadu",Mustard Oil,Oils,107,2025-05-10,365,2026-05-10,166,HEALTHY
B_0137,WH_TN_01,"Chennai, Tamil Nadu",Salt,Others,231,2025-07-13,1000,2028-04-08,865,HEALTHY
B_0138,WH_TN_01,"Chennai, Tamil Nadu",Rice,Grains,495,2025-02-24,730,2027-02-24,456,HEALTHY
B_0139,WH_AP_01,"Guntur, Andhra Pradesh",Masur Dal,Pulses,179,2025-06-15,365,2026-06-15,202,HEALTHY
B_0140,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,127,2025-02-20,730,2027-02-20,452,HEALTHY
B_0141,WH_WB_01,"Hooghly, West Bengal",Urad Dal,Pulses,74,2025-02-22,365,2026-02-22,89,HEALTHY
B_0142,WH_WB_01,"Hooghly, West Bengal",Potato,Vegetable,176,2024-12-14,120,2025-04-13,-226,EXPIRED (Loss)
B_0143,WH_PB_01,"Ludhiana, Punjab",Rice,Grains,257,2025-02-27,730,2027-02-27,459,HEALTHY
B_0144,WH_MP_01,"Indore, Madhya Pradesh",Wheat,Grains,361,2024-12-09,730,2026-12-09,379,HEALTHY
B_0145,WH_MH_02,"Latur, Maharashtra",Tur Dal,Pulses,464,2024-11-16,365,2025-11-16,-9,EXPIRED (Loss)
B_0146,WH_DL_01,"Najafgarh, Delhi",Potato,Vegetable,261,2025-05-08,120,2025-09-05,-81,EXPIRED (Loss)
B_0147,WH_KA_01,"Kolar, Karnataka",Rice,Grains,74,2025-06-20,730,2027-06-20,572,HEALTHY
B_0148,WH_TN_01,"Chennai, Tamil Nadu",Salt,Others,380,2025-11-06,1000,2028-08-02,981,HEALTHY
B_0149,WH_MH_01,"Nashik, Maharashtra",Onion,Vegetable,229,2025-01-29,60,2025-03-30,-240,EXPIRED (Loss)
B_0150,WH_TN_01,"Chennai, Tamil Nadu",Rice,Grains,445,2025-06-25,730,2027-06-25,577,HEALTHY
B_0151,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,139,2025-01-13,730,2027-01-13,414,HEALTHY
B_0152,WH_DL_01,"Najafgarh, Delhi",Potato,Vegetable,414,2025-01-06,120,2025-05-06,-203,EXPIRED (Loss)
B_0153,WH_DL_01,"Najafgarh, Delhi",Rice,Grains,322,2025-06-29,730,2027-06-29,581,HEALTHY
B_0154,WH_MP_01,"Indore, Madhya Pradesh",Rice,Grains,52,2025-05-19,730,2027-05-19,540,HEALTHY
B_0155,WH_UP_01,"Agra, Uttar Pradesh",Moong Dal,Pulses,482,2025-03-22,365,2026-03-22,117,HEALTHY
B_0156,WH_MH_01,"Nashik, Maharashtra",Tur Dal,Pulses,103,2025-01-28,365,2026-01-28,64,HEALTHY
B_0157,WH_TN_01,"Chennai, Tamil Nadu",Rice,Grains,155,2025-01-20,730,2027-01-20,421,HEALTHY
B_0158,WH_WB_01,"Hooghly, West Bengal",Potato,Vegetable,98,2025-11-03,120,2026-03-03,98,HEALTHY
B_0159,WH_AP_01,"Guntur, Andhra Pradesh",Masur Dal,Pulses,60,2025-08-02,365,2026-08-02,250,HEALTHY
B_0160,WH_MP_01,"Indore, Madhya Pradesh",Rice,Grains,229,2024-12-30,730,2026-12-30,400,HEALTHY
B_0161,WH_PB_01,"Ludhiana, Punjab",Potato,Vegetable,128,2024-11-14,120,2025-03-14,-256,EXPIRED (Loss)
B_0162,WH_MH_02,"Latur, Maharashtra",Urad Dal,Pulses,210,2025-04-07,365,2026-04-07,133,HEALTHY
B_0163,WH_WB_01,"Hooghly, West Bengal",Onion,Vegetable,169,2024-12-04,60,2025-02-02,-296,EXPIRED (Loss)
B_0164,WH_AP_01,"Guntur, Andhra Pradesh",Gram (Chana),Pulses,100,2025-07-25,365,2026-07-25,242,HEALTHY
B_0165,WH_TN_01,"Chennai, Tamil Nadu",Wheat,Grains,91,2025-06-01,730,2027-06-01,553,HEALTHY
B_0166,WH_MP_01,"Indore, Madhya Pradesh",Gram (Chana),Pulses,385,2025-10-07,365,2026-10-07,316,HEALTHY
B_0167,WH_MP_01,"Indore, Madhya Pradesh",Sunflower Oil,Oils,95,2025-11-07,365,2026-11-07,347,HEALTHY
B_0168,WH_KA_01,"Kolar, Karnataka",Rice,Grains,158,2025-11-09,730,2027-11-09,714,HEALTHY
B_0169,WH_MP_01,"Indore, Madhya Pradesh",Wheat,Grains,480,2025-04-18,730,2027-04-18,509,HEALTHY
B_0170,WH_UP_01,"Agra, Uttar Pradesh",Wheat,Grains,225,2025-07-07,730,2027-07-07,589,HEALTHY
B_0171,WH_PB_01,"Ludhiana, Punjab",Mustard Oil,Oils,260,2025-08-20,365,2026-08-20,268,HEALTHY
B_0172,WH_UP_01,"Agra, Uttar Pradesh",Mustard Oil,Oils,341,2025-04-28,365,2026-04-28,154,HEALTHY
B_0173,WH_PB_01,"Ludhiana, Punjab",Mustard Oil,Oils,210,2025-07-11,365,2026-07-11,228,HEALTHY
B_0174,WH_PB_01,"Ludhiana, Punjab",Mustard Oil,Oils,375,2025-07-31,365,2026-07-31,248,HEALTHY
B_0175,WH_MH_02,"Latur, Maharashtra",Tur Dal,Pulses,352,2025-01-10,365,2026-01-10,46,HEALTHY
B_0176,WH_MP_01,"Indore, Madhya Pradesh",Urad Dal,Pulses,295,2025-01-25,365,2026-01-25,61,HEALTHY
B_0177,WH_UP_01,"Agra, Uttar Pradesh",Tomato,Vegetable,314,2025-01-05,15,2025-01-20,-309,EXPIRED (Loss)
B_0178,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,262,2025-01-19,730,2027-01-19,420,HEALTHY
B_0179,WH_AP_01,"Guntur, Andhra Pradesh",Masur Dal,Pulses,297,2025-05-18,365,2026-05-18,174,HEALTHY
B_0180,WH_UP_01,"Agra, Uttar Pradesh",Mustard Oil,Oils,491,2025-10-06,365,2026-10-06,315,HEALTHY
B_0181,WH_MH_02,"Latur, Maharashtra",Tur Dal,Pulses,11,2025-07-24,365,2026-07-24,241,HEALTHY
B_0182,WH_MH_02,"Latur, Maharashtra",Tur Dal,Pulses,426,2025-09-04,365,2026-09-04,283,HEALTHY
B_0183,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,77,2025-02-23,730,2027-02-23,455,HEALTHY
B_0184,WH_DL_01,"Najafgarh, Delhi",Onion,Vegetable,177,2025-01-05,60,2025-03-06,-264,EXPIRED (Loss)
B_0185,WH_MH_01,"Nashik, Maharashtra",Onion,Vegetable,228,2025-07-20,60,2025-09-18,-68,EXPIRED (Loss)
B_0186,WH_MH_02,"Latur, Maharashtra",Sunflower Oil,Oils,495,2024-12-26,365,2025-12-26,31,HEALTHY
B_0187,WH_MP_01,"Indore, Madhya Pradesh",Rice,Grains,438,2025-11-05,730,2027-11-05,710,HEALTHY
B_0188,WH_KA_01,"Kolar, Karnataka",Tomato,Vegetable,135,2024-12-25,15,2025-01-09,-320,EXPIRED (Loss)
B_0189,WH_DL_01,"Najafgarh, Delhi",Rice,Grains,80,2025-05-25,730,2027-05-25,546,HEALTHY
B_0190,WH_MH_01,"Nashik, Maharashtra",Sugar,Others,225,2025-04-09,730,2027-04-09,500,HEALTHY
B_0191,WH_UP_01,"Agra, Uttar Pradesh",Potato,Vegetable,210,2025-04-22,120,2025-08-20,-97,EXPIRED (Loss)
B_0192,WH_TN_01,"Chennai, Tamil Nadu",Rice,Grains,493,2025-08-24,730,2027-08-24,637,HEALTHY
B_0193,WH_KA_01,"Kolar, Karnataka",Potato,Vegetable,47,2025-07-04,120,2025-11-01,-24,EXPIRED (Loss)
B_0194,WH_MP_01,"Indore, Madhya Pradesh",Gram (Chana),Pulses,303,2025-07-17,365,2026-07-17,234,HEALTHY
B_0195,WH_MH_01,"Nashik, Maharashtra",Tur Dal,Pulses,25,2025-11-04,365,2026-11-04,344,HEALTHY
B_0196,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,285,2025-11-14,730,2027-11-14,719,HEALTHY
B_0197,WH_MH_01,"Nashik, Maharashtra",Onion,Vegetable,163,2025-06-02,60,2025-08-01,-116,EXPIRED (Loss)
B_0198,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,362,2025-07-29,730,2027-07-29,611,HEALTHY
B_0199,WH_MH_02,"Latur, Maharashtra",Sunflower Oil,Oils,320,2025-03-12,365,2026-03-12,107,HEALTHY
B_0200,WH_WB_01,"Hooghly, West Bengal",Potato,Vegetable,162,2025-05-10,120,2025-09-07,-79,EXPIRED (Loss)
B_0201,WH_KA_01,"Kolar, Karnataka",Potato,Vegetable,388,2024-12-04,120,2025-04-03,-236,EXPIRED (Loss)
B_0202,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,70,2025-06-12,730,2027-06-12,564,HEALTHY
B_0203,WH_MH_02,"Latur, Maharashtra",Gram (Chana),Pulses,263,2025-09-19,365,2026-09-19,298,HEALTHY
B_0204,WH_WB_01,"Hooghly, West Bengal",Rice,Grains,476,2025-03-09,730,2027-03-09,469,HEALTHY
B_0205,WH_MH_01,"Nashik, Maharashtra",Sugar,Others,278,2025-09-08,730,2027-09-08,652,HEALTHY
B_0206,WH_KA_01,"Kolar, Karnataka",Potato,Vegetable,457,2024-12-21,120,2025-04-20,-219,EXPIRED (Loss)
B_0207,WH_PB_01,"Ludhiana, Punjab",Tomato,Vegetable,80,2025-01-27,15,2025-02-11,-287,EXPIRED (Loss)
B_0208,WH_AP_01,"Guntur, Andhra Pradesh",Rice,Grains,56,2025-01-19,730,2027-01-19,420,HEALTHY
B_0209,WH_KA_01,"Kolar, Karnataka",Rice,Grains,236,2025-07-08,730,2027-07-08,590,HEALTHY
B_0210,WH_KA_01,"Kolar, Karnataka",Onion,Vegetable,285,2025-03-15,60,2025-05-14,-195,EXPIRED (Loss)
B_0211,WH_DL_01,"Najafgarh, Delhi",Potato,Vegetable,72,2025-03-08,120,2025-07-06,-142,EXPIRED (Loss)
B_0212,WH_DL_01,"Najafgarh, Delhi",Moong Dal,Pulses,441,2025-08-02,365,2026-08-02,250,HEALTHY
